"realSum" "room" "capacity" "bedrooms" "dist" "metro" "attr" "rest" "lng" "lat" "host" "cleanliness" "satisfaction"
430,248634968247 1 2 1 3,02953810474062 0,911223721457223 139,934425212812 176,923858732593 4,85087 52,38181 0 10 9,7
403,065170013826 1 2 1 2,8044099888576 1,70590212619214 154,585326153947 198,138405846415 4,93208 52,3651 0 10 9,7
442,668666369836 2 2 1 0,493141709546873 0,122273225063458 570,430188753072 670,063539470705 4,89968 52,37138 0 9 8,4
977,433037283528 1 4 2 0,699256631468643 0,608605097181752 528,885754160082 832,178322169492 4,88391 52,37043 1 9 9,3
522,344339512104 1 2 2 3,84507381278886 0,696826279340691 149,945704677402 181,649624679384 4,862 52,34439 0 9 9,6
1179,90298315094 1 4 3 1,50272279129314 0,212069150248835 483,85389645744 488,382308784837 4,89365 52,35973 1 10 9,9
583,741475874675 1 2 1 2,57283007675011 1,47243449751336 149,000014042564 189,312459415037 4,87162 52,39226 0 10 9,9
374,944344198908 2 4 1 0,944510188395887 0,72710266557448 320,242468182359 458,139312941812 4,89075 52,3816 2 6 8,8
372,366601832541 2 2 1 3,89326198668572 0,657429832891999 147,229243131981 179,489678305168 4,86119 52,3442 0 10 9,7
479,225739929229 3 2 1 1,37726223054926 0,0779095347866674 549,519379321351 555,052812560745 4,89 52,361 0 10 9,6
454,8543575563 1 2 1 2,28497311336327 1,82753897579777 164,162523060052 210,690264668157 4,87652 52,39109 0 10 9,8
614,44004405596 1 2 1 5,24892549662352 1,44732392542135 83,9713571338483 104,786243653143 4,81785 52,38349 0 10 9,7
493,989173482061 1 2 1 1,42514200716132 0,133104993720095 594,181139406818 552,400992880726 4,88918 52,36065 0 9 9,1
602,020012654372 1 2 1 2,01331546224725 1,80424491428379 264,786523009729 335,137879481347 4,866 52,366 1 10 9,9
675,837180418532 1 4 1 1,63242059725655 1,76049012653089 236,513369922663 295,37474682751 4,87336 52,38156 0 9 9,4
399,550066786961 1 2 1 9,33553241962526 0,380476295334172 49,3255944271616 61,5893719618612 4,98057 52,30865 0 10 9,7
368,617158390551 2 2 1 0,353096482090006 0,495742878297471 500,514496503795 797,949269393397 4,89344 52,3764 0 10 9,6
209,031471890891 2 2 1 4,68770940786033 3,63202197616874 90,395150026841 112,986574739258 4,96166 52,36943 1 10 9,7
209,031471890891 2 2 1 4,61248095931305 3,62593788837528 92,0465190923126 115,156768853517 4,9604 52,36854 1 10 9,8
640,45180793476 1 2 1 1,73261230702368 0,504428020565322 386,059491716781 430,870381579189 4,89663 52,35781 0 9 9,6
165,912872308017 2 2 1 11,1959322159625 0,429202810419573 40,8900599452323 50,8239911417635 4,99256 52,29314 0 10 9,7
209,031471890891 2 2 1 4,68689209951726 3,59589022002085 90,2761665157399 112,80227050464 4,96173 52,37003 1 10 9,8
934,08009748553 2 4 1 1,11989841969032 0,382395397083638 373,360654716478 414,249829816981 4,90714 52,36799 1 10 9,6
